transaction_id,application_id,business_date,status,amount,currency,region,counterparty_id,product_code,trader_id,book,value_date
TXN0004317257,APP017,2025-09-13,reversed,644324.23,CHF,EMEA,CP0271,FX,TDR0025,BOOK_A,2025-02-20
TXN0006248112,APP003,2025-12-26,failed,363862.03,AUD,EMEA,CP0433,SWAP,TDR0168,BOOK_D,2026-03-26
TXN0006867381,APP020,2025-08-11,settled,432403.9,AUD,EMEA,CP0013,SWAP,TDR0185,BOOK_B,2025-07-23
TXN0006964270,APP006,2025-08-07,active,458382.04,CHF,LATAM,CP0230,FX,TDR0059,BOOK_A,2025-04-10
TXN0009485476,APP010,2025-11-21,settled,406252.72,JPY,AMER,CP0096,FX,TDR0174,BOOK_A,2025-09-04
TXN0007231158,APP008,2025-10-09,failed,859611.2,JPY,EMEA,CP0057,FUTURE,TDR0031,BOOK_A,2025-12-17
TXN0004869259,APP017,2025-02-08,settled,530135.63,JPY,EMEA,CP0311,FX,TDR0117,BOOK_C,2025-10-21
TXN0002030582,APP012,2025-01-17,active,366668.35,USD,AMER,CP0145,EQUITY,TDR0078,BOOK_D,2026-03-02
TXN0009715631,APP015,2025-02-21,reversed,815078.61,JPY,APAC,CP0485,BOND,TDR0141,BOOK_B,2025-06-30
TXN0009123553,APP009,2025-06-02,failed,300155.14,AUD,AMER,CP0497,FUTURE,TDR0142,BOOK_B,2025-02-09
TXN0000067475,APP015,2025-01-30,reversed,305813.73,GBP,LATAM,CP0351,EQUITY,TDR0174,BOOK_B,2025-12-04
TXN0006585457,APP019,2026-02-21,reversed,231535.31,USD,APAC,CP0304,FX,TDR0177,BOOK_C,2026-02-18
TXN0003734438,APP016,2025-09-23,failed,629240.12,CHF,LATAM,CP0446,BOND,TDR0149,BOOK_B,2026-01-31
TXN0000901607,APP009,2025-08-25,reversed,88812.33,JPY,LATAM,CP0282,SWAP,TDR0125,BOOK_A,2025-10-07
TXN0000192225,APP004,2025-04-26,active,479936.03,AUD,LATAM,CP0224,FUTURE,TDR0077,BOOK_A,2025-11-08
TXN0009836627,APP003,2025-10-23,pending,499633.05,JPY,APAC,CP0403,FUTURE,TDR0014,BOOK_D,2026-01-24
TXN0002877116,APP010,2025-11-26,reversed,457234.59,AUD,EMEA,CP0403,FUTURE,TDR0050,BOOK_A,2025-06-02
TXN0000811019,APP001,2025-12-26,reversed,695333.48,AUD,EMEA,CP0150,BOND,TDR0158,BOOK_A,2025-12-27
TXN0001581268,APP006,2025-10-26,settled,598042.75,AUD,EMEA,CP0079,EQUITY,TDR0062,BOOK_A,2025-02-11
TXN0009033730,APP012,2026-01-29,settled,711679.92,EUR,APAC,CP0075,SWAP,TDR0180,BOOK_B,2025-01-30
TXN0003900841,APP007,2025-03-11,reversed,567977.3,CHF,LATAM,CP0235,OPTION,TDR0169,BOOK_B,2026-02-25
TXN0006527754,APP008,2025-01-15,settled,55138.53,CHF,APAC,CP0038,SWAP,TDR0025,BOOK_C,2025-10-28
TXN0003331579,APP016,2025-12-20,failed,770477.49,JPY,AMER,CP0191,OPTION,TDR0188,BOOK_A,2025-07-18
TXN0002436199,APP019,2026-02-27,failed,7394.15,JPY,APAC,CP0230,OPTION,TDR0130,BOOK_A,2025-08-21
TXN0003323180,APP009,2026-02-12,pending,17427.33,CHF,EMEA,CP0316,BOND,TDR0128,BOOK_A,2025-09-22
TXN0008627087,APP011,2025-08-05,failed,899966.09,JPY,LATAM,CP0299,FUTURE,TDR0149,BOOK_B,2025-01-04
