transaction_id,application_id,business_date,status,amount,currency,region,counterparty_id,product_code,trader_id,book,value_date
TXN0005105625,APP009,2025-03-12,pending,87771.48,EUR,EMEA,CP0260,OPTION,TDR0163,BOOK_C,2026-01-21
TXN0006872737,APP003,2025-02-26,active,716073.18,AUD,EMEA,CP0032,FUTURE,TDR0043,BOOK_C,2026-02-28
TXN0000271403,APP020,2025-10-14,settled,252979.11,EUR,EMEA,CP0184,FX,TDR0129,BOOK_C,2026-02-05
TXN0006939600,APP008,2025-05-28,active,766051.75,AUD,AMER,CP0238,FX,TDR0123,BOOK_B,2025-03-31
TXN0003295982,APP017,2025-06-01,pending,312899.08,GBP,EMEA,CP0092,FX,TDR0194,BOOK_B,2026-02-14
TXN0001742028,APP004,2026-03-22,failed,252769.01,GBP,APAC,CP0105,FUTURE,TDR0009,BOOK_A,2025-06-08
TXN0002416845,APP018,2025-02-04,pending,317812.81,JPY,LATAM,CP0288,BOND,TDR0091,BOOK_C,2025-05-27
TXN0006651370,APP009,2025-10-30,pending,941603.22,AUD,APAC,CP0377,SWAP,TDR0053,BOOK_A,2025-10-20
TXN0006970569,APP004,2025-07-11,pending,718763.59,AUD,LATAM,CP0286,SWAP,TDR0050,BOOK_D,2025-05-24
TXN0007759336,APP002,2026-01-24,reversed,792192.89,EUR,AMER,CP0179,OPTION,TDR0162,BOOK_D,2025-01-05
TXN0007586578,APP007,2025-01-05,failed,430895.92,GBP,EMEA,CP0377,EQUITY,TDR0110,BOOK_C,2026-03-06
TXN0006973542,APP003,2025-08-18,reversed,208939.53,USD,LATAM,CP0048,EQUITY,TDR0071,BOOK_C,2025-05-17
TXN0009658308,APP018,2025-10-09,active,702519.74,EUR,EMEA,CP0052,BOND,TDR0079,BOOK_C,2025-05-02
TXN0003978319,APP019,2025-07-04,active,958056.23,CHF,AMER,CP0183,SWAP,TDR0185,BOOK_B,2025-01-29
TXN0003863467,APP010,2025-03-08,active,898810.25,USD,LATAM,CP0114,SWAP,TDR0014,BOOK_D,2025-10-07
TXN0005378103,APP008,2025-02-16,pending,606138.5,GBP,EMEA,CP0416,SWAP,TDR0087,BOOK_B,2026-04-10
TXN0006147168,APP005,2025-07-02,settled,266240.7,AUD,AMER,CP0189,EQUITY,TDR0135,BOOK_B,2025-08-02
TXN0005033020,APP012,2025-01-11,failed,512839.55,JPY,LATAM,CP0309,OPTION,TDR0018,BOOK_A,2025-01-16
TXN0001469247,APP009,2025-04-10,settled,565386.47,EUR,LATAM,CP0245,FUTURE,TDR0083,BOOK_A,2025-06-09
TXN0008839123,APP005,2025-06-20,failed,254307.09,CHF,APAC,CP0358,OPTION,TDR0033,BOOK_B,2025-12-11
