transaction_id,application_id,business_date,status,amount,currency,region,counterparty_id,product_code,trader_id,book,value_date
TXN0005179987,APP016,2025-01-29,reversed,512120.38,GBP,LATAM,CP0352,FX,TDR0049,BOOK_B,2025-01-12
TXN0000346570,APP002,2025-08-21,pending,762876.14,JPY,LATAM,CP0245,FX,TDR0014,BOOK_D,2025-05-01
TXN0006873682,APP004,2025-03-08,active,44717.63,EUR,EMEA,CP0268,EQUITY,TDR0027,BOOK_D,2025-12-31
TXN0007104554,APP017,2026-02-11,pending,416164.1,USD,AMER,CP0256,BOND,TDR0162,BOOK_A,2026-01-03
TXN0002606662,APP017,2025-09-17,pending,93546.26,EUR,AMER,CP0229,SWAP,TDR0020,BOOK_B,2025-06-24
TXN0001044813,APP014,2025-01-03,pending,775189.2,JPY,AMER,CP0304,EQUITY,TDR0154,BOOK_C,2025-12-10
TXN0004440495,APP009,2026-03-28,settled,129188.62,USD,LATAM,CP0422,OPTION,TDR0091,BOOK_C,2025-04-29
TXN0007380967,APP018,2025-06-08,settled,89708.69,AUD,AMER,CP0079,SWAP,TDR0044,BOOK_B,2025-01-24
TXN0009719597,APP015,2025-09-14,settled,259136.34,JPY,APAC,CP0420,FX,TDR0128,BOOK_C,2025-10-10
TXN0008619676,APP003,2025-02-05,failed,84642.62,JPY,LATAM,CP0048,OPTION,TDR0053,BOOK_A,2025-03-21
TXN0004869717,APP013,2026-03-18,failed,974639.21,EUR,APAC,CP0461,OPTION,TDR0103,BOOK_C,2025-07-16
TXN0005421042,APP006,2025-10-06,active,830598.81,AUD,AMER,CP0298,EQUITY,TDR0086,BOOK_B,2025-06-20
TXN0002628715,APP014,2025-11-28,failed,782915.51,JPY,AMER,CP0494,FX,TDR0194,BOOK_B,2025-05-30
TXN0008143188,APP020,2025-06-15,failed,931766.4,JPY,EMEA,CP0367,FX,TDR0152,BOOK_D,2025-12-12
TXN0003716651,APP014,2025-05-05,pending,529794.65,EUR,APAC,CP0326,OPTION,TDR0117,BOOK_B,2025-04-06
TXN0009818719,APP008,2025-02-10,reversed,679201.37,CHF,APAC,CP0346,EQUITY,TDR0178,BOOK_B,2025-07-08
TXN0005755619,APP002,2025-12-19,failed,129251.19,EUR,AMER,CP0267,OPTION,TDR0040,BOOK_C,2025-09-24
TXN0002503208,APP010,2025-04-28,pending,989975.75,USD,LATAM,CP0030,OPTION,TDR0062,BOOK_B,2026-03-09
TXN0005413702,APP006,2026-01-11,pending,50933.25,JPY,APAC,CP0491,OPTION,TDR0149,BOOK_D,2025-04-05
TXN0003190930,APP014,2026-01-10,reversed,651704.16,CHF,LATAM,CP0444,EQUITY,TDR0199,BOOK_C,2025-06-13
TXN0005421174,APP005,2025-03-22,active,115876.41,USD,LATAM,CP0026,EQUITY,TDR0039,BOOK_D,2025-07-06
TXN0005584668,APP003,2026-02-17,pending,55406.7,EUR,APAC,CP0380,SWAP,TDR0171,BOOK_A,2025-07-26
TXN0001325073,APP016,2026-01-12,settled,202879.16,USD,EMEA,CP0393,FX,TDR0157,BOOK_A,2026-03-08
TXN0007149516,APP011,2025-08-05,pending,760166.79,AUD,APAC,CP0243,BOND,TDR0130,BOOK_D,2025-02-08
TXN0009049747,APP016,2025-01-09,settled,886112.41,EUR,APAC,CP0295,OPTION,TDR0066,BOOK_D,2026-03-23
TXN0000877179,APP002,2025-08-04,pending,594141.48,EUR,EMEA,CP0367,OPTION,TDR0037,BOOK_C,2026-03-16
TXN0008797776,APP009,2025-03-09,settled,653150.81,JPY,AMER,CP0212,FX,TDR0173,BOOK_B,2025-06-08
TXN0007667092,APP015,2025-08-28,active,975643.79,USD,AMER,CP0005,BOND,TDR0009,BOOK_C,2025-04-04
TXN0008594041,APP010,2025-01-09,settled,612044.23,AUD,AMER,CP0187,BOND,TDR0136,BOOK_D,2025-09-16
TXN0003192233,APP005,2025-12-23,active,528941.9,AUD,EMEA,CP0426,SWAP,TDR0154,BOOK_B,2025-10-27
TXN0009043441,APP017,2026-04-10,failed,785949.01,EUR,APAC,CP0460,SWAP,TDR0137,BOOK_A,2025-02-01
TXN0005392908,APP012,2025-03-07,failed,528097.05,EUR,AMER,CP0137,BOND,TDR0193,BOOK_C,2025-03-16
