transaction_id,application_id,business_date,status,amount,currency,region,counterparty_id,product_code,trader_id,book,value_date
TXN0003297405,APP005,2025-08-01,settled,784080.38,GBP,AMER,CP0327,SWAP,TDR0025,BOOK_C,2025-01-19
TXN0008680543,APP003,2026-04-03,failed,335613.63,USD,EMEA,CP0370,SWAP,TDR0195,BOOK_B,2025-04-11
TXN0003490692,APP014,2025-04-09,pending,972380.49,AUD,AMER,CP0350,BOND,TDR0168,BOOK_B,2026-02-11
TXN0003247497,APP009,2025-07-08,failed,369311.43,CHF,LATAM,CP0369,EQUITY,TDR0018,BOOK_B,2026-03-21
TXN0002977846,APP002,2025-03-08,active,861762.43,USD,EMEA,CP0478,SWAP,TDR0026,BOOK_C,2025-11-06
TXN0003486607,APP012,2026-01-13,settled,342660.31,CHF,AMER,CP0370,FX,TDR0065,BOOK_D,2025-02-24
TXN0001785190,APP018,2025-04-06,settled,537755.17,JPY,EMEA,CP0141,BOND,TDR0096,BOOK_D,2026-03-08
TXN0007542191,APP015,2025-07-13,settled,130710.42,JPY,APAC,CP0329,OPTION,TDR0184,BOOK_C,2025-02-03
TXN0001469727,APP015,2026-02-04,pending,173419.77,EUR,AMER,CP0139,FX,TDR0053,BOOK_C,2025-07-19
TXN0005359969,APP016,2025-10-16,pending,473794.29,GBP,AMER,CP0151,BOND,TDR0173,BOOK_D,2025-03-13
TXN0000263711,APP014,2025-01-27,settled,701815.16,JPY,AMER,CP0082,EQUITY,TDR0129,BOOK_D,2025-06-15
TXN0006442175,APP018,2025-05-24,failed,67198.96,GBP,APAC,CP0448,BOND,TDR0029,BOOK_C,2026-02-06
TXN0002973969,APP010,2025-02-20,pending,883467.36,AUD,LATAM,CP0210,BOND,TDR0163,BOOK_D,2025-09-09
TXN0002928922,APP013,2025-07-08,reversed,133932.84,JPY,EMEA,CP0466,EQUITY,TDR0129,BOOK_B,2025-05-02
TXN0002321701,APP013,2025-04-04,pending,642163.13,AUD,AMER,CP0229,FUTURE,TDR0026,BOOK_C,2025-09-11
TXN0004566421,APP015,2026-01-23,pending,858316.69,JPY,AMER,CP0478,FUTURE,TDR0072,BOOK_C,2025-02-25
TXN0001458589,APP008,2026-01-24,pending,956732.34,AUD,AMER,CP0180,FX,TDR0139,BOOK_C,2025-04-02
TXN0006414480,APP013,2025-09-19,failed,735753.11,EUR,EMEA,CP0040,SWAP,TDR0091,BOOK_C,2025-12-04
TXN0005037566,APP005,2026-01-07,active,207503.14,AUD,AMER,CP0105,BOND,TDR0132,BOOK_C,2025-08-06
TXN0008173957,APP016,2025-02-13,pending,440053.09,GBP,APAC,CP0231,FUTURE,TDR0200,BOOK_D,2025-02-18
TXN0000577734,APP007,2025-04-21,settled,588075.27,EUR,AMER,CP0065,OPTION,TDR0043,BOOK_C,2025-08-06
TXN0007633078,APP020,2025-06-20,pending,612008.69,JPY,AMER,CP0118,EQUITY,TDR0003,BOOK_C,2025-11-01
TXN0006557617,APP008,2026-03-02,active,386440.42,JPY,EMEA,CP0291,SWAP,TDR0023,BOOK_A,2025-10-24
TXN0002081226,APP017,2026-03-20,failed,702411.01,CHF,AMER,CP0116,EQUITY,TDR0176,BOOK_A,2025-08-29
TXN0003724600,APP011,2025-09-19,settled,247430.97,USD,APAC,CP0454,SWAP,TDR0052,BOOK_C,2025-05-20
TXN0001779840,APP017,2026-01-05,reversed,568600.07,CHF,AMER,CP0154,EQUITY,TDR0121,BOOK_C,2025-09-18
TXN0000652397,APP010,2025-10-12,settled,785680.95,GBP,EMEA,CP0020,EQUITY,TDR0121,BOOK_B,2026-02-20
TXN0004593627,APP003,2025-03-22,failed,225123.06,USD,APAC,CP0206,FUTURE,TDR0124,BOOK_A,2025-05-16
TXN0009241311,APP001,2025-02-15,reversed,786040.78,USD,APAC,CP0225,FUTURE,TDR0144,BOOK_C,2025-07-28
TXN0004839217,APP019,2025-08-23,reversed,19083.46,EUR,AMER,CP0102,SWAP,TDR0152,BOOK_C,2026-01-25
TXN0003603004,APP014,2025-10-22,pending,955811.83,GBP,AMER,CP0014,FX,TDR0119,BOOK_D,2025-11-03
TXN0003373870,APP007,2025-01-17,settled,678629.95,USD,LATAM,CP0416,BOND,TDR0075,BOOK_D,2025-12-23
TXN0006801870,APP009,2025-07-16,active,422768.02,AUD,EMEA,CP0076,BOND,TDR0188,BOOK_C,2025-01-21
TXN0002345622,APP004,2025-01-27,settled,190959.11,JPY,LATAM,CP0358,FUTURE,TDR0193,BOOK_C,2026-03-07
TXN0000876103,APP019,2025-06-20,failed,697843.14,USD,APAC,CP0370,BOND,TDR0096,BOOK_D,2025-06-01
TXN0002960651,APP016,2025-04-01,reversed,786573.92,JPY,APAC,CP0380,FX,TDR0177,BOOK_B,2026-02-04
TXN0005784971,APP020,2026-02-02,reversed,730584.6,JPY,AMER,CP0432,OPTION,TDR0126,BOOK_A,2026-03-23
TXN0007797866,APP016,2025-09-24,active,471800.76,AUD,AMER,CP0231,FUTURE,TDR0078,BOOK_B,2025-01-18
TXN0007472219,APP014,2025-08-29,settled,547640.79,GBP,EMEA,CP0437,SWAP,TDR0174,BOOK_C,2025-09-02
TXN0008736482,APP017,2025-04-19,active,15386.56,JPY,APAC,CP0498,FUTURE,TDR0066,BOOK_A,2025-11-18
TXN0009790007,APP015,2025-11-21,failed,251755.24,CHF,EMEA,CP0265,FUTURE,TDR0105,BOOK_C,2025-01-14
